dist_metric,iter_number,sources accuracy
6.8746385132549221,5,"[0.6994882073075904, 0.6031316663737575, 0.491124168829762, 0.6263232193462324, 0.5587112280651405]"
6.8746385132549221,5,"[0.6994882073075904, 0.6031316663737575, 0.491124168829762, 0.6263232193462324, 0.5587112280651405]"
6.8746385132549221,5,"[0.6994882073075904, 0.6031316663737575, 0.491124168829762, 0.6263232193462324, 0.5587112280651405]"
6.8746385132549221,5,"[0.6994882073075904, 0.6031316663737575, 0.491124168829762, 0.6263232193462324, 0.5587112280651405]"
6.8746385132549221,5,"[0.6994882073075904, 0.6031316663737575, 0.491124168829762, 0.6263232193462324, 0.5587112280651405]"
6.8746385132549221,5,"[0.6994882073075904, 0.6031316663737575, 0.491124168829762, 0.6263232193462324, 0.5587112280651405]"
6.8746385132549221,5,"[0.6994882073075904, 0.6031316663737575, 0.491124168829762, 0.6263232193462324, 0.5587112280651405]"
6.8746385132549221,5,"[0.6994882073075904, 0.6031316663737575, 0.491124168829762, 0.6263232193462324, 0.5587112280651405]"
6.8746385132549221,5,"[0.6994882073075904, 0.6031316663737575, 0.491124168829762, 0.6263232193462324, 0.5587112280651405]"
6.8746385132549221,5,"[0.6994882073075904, 0.6031316663737575, 0.491124168829762, 0.6263232193462324, 0.5587112280651405]"
6.4231016014978843,5,"[0.661528507245433, 0.5804819923347974, 0.4360504438456977, 0.5634348239165948, 0.5264292463412367]"
6.0057460545911754,7,"[0.6032896337351564, 0.5318580630224987, 0.5184889482171243, 0.561787801576528, 0.5029490386936297]"
5.6874607567751161,5,"[0.6997807000998156, 0.5453294080441481, 0.409726860227828, 0.5833090595820482, 0.507588916814533]"
7.0773403838223867,5,"[0.6541799758908587, 0.618911056359939, 0.4598063653963706, 0.6478725042803877, 0.5728248394555518]"
7.0266601997117917,5,"[0.6121219449832498, 0.6144915193082817, 0.5084600193918271, 0.6168208263388097, 0.5613376384202687]"
5.859704952591815,4,"[0.5902333628203601, 0.5206490953040606, 0.478243690302739, 0.5976504576110163, 0.46090949276358684]"
6.8473993491706979,6,"[0.6929106959256547, 0.5245825334210261, 0.5133158429436746, 0.6429410905062142, 0.5439231808392835]"
6.3953045936950357,5,"[0.6540974901358722, 0.6011582453805147, 0.4967224926370349, 0.5903819182537061, 0.5499313558112149]"
6.6431762174782065,5,"[0.5920148401212924, 0.5957388512533861, 0.4900787104418235, 0.5913597705512065, 0.54750776931472]"
6.959200573977057,5,"[0.7388532649035345, 0.6587109141244049, 0.4973293745186774, 0.6506825852748994, 0.5686470815966264]"
7.7074643613527689,4,"[0.6502566571496637, 0.6273820810117662, 0.5569721251122559, 0.6855042470855061, 0.5876220833145568]"
5.5206844081589939,11,"[0.5713293963336642, 0.6410182831768066, 0.3930577862907184, 0.5574527082361215, 0.47235325640464165]"
7.2257030600165688,5,"[0.6673059886200874, 0.6121951883386342, 0.4591149272735926, 0.6350244456191864, 0.6032729726622191]"
5.0770364163068775,6,"[0.5317485726077593, 0.4184875394233664, 0.4704083409697724, 0.5193511693010533, 0.39580748918407693]"
6.0786000691297506,6,"[0.5327567182123616, 0.5770896679949775, 0.46432494824580794, 0.5302252978850863, 0.5042862007722547]"
7.3304410811293437,4,"[0.7434050620081577, 0.5683824328367725, 0.42474200346361457, 0.728398125712024, 0.550683697139241]"
6.6644037131646057,5,"[0.6543189508924644, 0.5981439646409805, 0.4700878074719365, 0.6084209512941224, 0.5463765846751959]"
6.6308747641970669,5,"[0.5455003791563395, 0.5840748472387175, 0.4450912586385439, 0.6113521860482928, 0.5447615334637642]"
6.2384043706095351,4,"[0.622077572386625, 0.5298048725705639, 0.46422718501570476, 0.6350826836225393, 0.47387156610495423]"
6.1708990606807355,5,"[0.6076863537708976, 0.5314950187191628, 0.47447269933897, 0.5522177329916392, 0.49958330108131455]"
5.5188908622262174,7,"[0.5731124461159086, 0.30857168963341286, 0.5525067227875885, 0.45750158579145767, 0.504985759456515]"
5.5699467534830918,5,"[0.5929913109154941, 0.5658394236376648, 0.4574760005718065, 0.5430689544247791, 0.49066087986227824]"
5.9584679538282437,6,"[0.6234975825100834, 0.6103738874143659, 0.5501469141120252, 0.462228347986701, 0.5649019970074406]"
5.319866387290995,23,"[0.5460747614318908, 0.5300591429658816, 0.4067852613746884, 0.49426211691296246, 0.4533984542883673]"
5.9314647794038686,7,"[0.5022606330906699, 0.5830216700748677, 0.407194385699085, 0.5826516061206265, 0.40222749359869425]"
4.4183454967113214,8,"[0.4288738747053905, 0.41559561123619576, 0.46674122387680966, 0.49126880339745954, 0.41069377548261315]"
5.7246149919234188,5,"[0.5282668431979786, 0.5120959202310035, 0.44178785303250834, 0.5972041926447972, 0.387618981923701]"
6.5473915407094188,5,"[0.6328063461645645, 0.4994817530618478, 0.5204034163588185, 0.6049229905150034, 0.5250713905405353]"
