p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.0,0.0,3.4,0.548,6.55,1.883,0.072,0.068,0.076,0.052
0.0,0.0,3.34,0.62,6.62,2.024,0.07,0.064,0.072,0.046
0.0,0.0,3.37,0.594,6.46,1.723,0.073,0.062,0.078,0.047
0.0,0.0,3.29,0.605,6.45,1.846,0.073,0.064,0.076,0.047
0.0,0.0,3.36,0.592,6.43,1.883,0.066,0.068,0.07,0.051
0.0,0.0,3.32,0.527,6.48,1.819,0.074,0.075,0.074,0.056
0.0,0.0,3.22,0.576,6.34,1.823,0.067,0.068,0.067,0.052
0.0,0.0,3.31,0.578,6.28,1.738,0.075,0.084,0.074,0.06
0.0,0.0,3.42,0.533,6.47,2.022,0.076,0.061,0.081,0.045
0.0,0.0,3.44,0.605,6.63,1.88,0.062,0.054,0.068,0.043
0.0,0.1,3.36,0.539,6.39,1.974,0.069,0.077,0.071,0.058
0.0,0.1,3.23,0.614,6.55,1.941,0.067,0.068,0.071,0.051
0.0,0.1,3.45,0.555,6.34,1.861,0.064,0.075,0.071,0.055
0.0,0.1,3.33,0.601,6.56,1.941,0.071,0.078,0.073,0.057
0.0,0.1,3.31,0.542,6.33,1.789,0.065,0.085,0.067,0.061
0.0,0.1,3.37,0.541,6.58,1.991,0.065,0.075,0.066,0.057
0.0,0.1,3.32,0.581,6.36,2.027,0.076,0.06,0.077,0.044
0.0,0.1,3.33,0.633,6.13,1.968,0.061,0.068,0.067,0.049
0.0,0.1,3.32,0.581,6.42,1.65,0.066,0.067,0.07,0.051
0.0,0.1,3.4,0.566,6.34,1.904,0.07,0.067,0.074,0.049
0.0,0.2,3.2,0.678,6.21,1.711,0.061,0.07,0.064,0.052
0.0,0.2,3.4,0.648,6.51,1.863,0.068,0.059,0.075,0.046
0.0,0.2,3.35,0.622,6.0,1.838,0.064,0.071,0.07,0.054
0.0,0.2,3.28,0.601,6.6,1.924,0.069,0.069,0.072,0.052
0.0,0.2,3.22,0.54,6.05,1.967,0.069,0.062,0.067,0.045
0.0,0.2,3.27,0.563,6.2,1.844,0.067,0.058,0.069,0.042
0.0,0.2,3.4,0.566,6.12,1.693,0.069,0.08,0.073,0.061
0.0,0.2,3.29,0.571,6.38,2.024,0.057,0.064,0.06,0.047
0.0,0.2,3.44,0.571,6.48,1.921,0.07,0.07,0.077,0.051
0.0,0.2,3.4,0.583,6.25,1.526,0.072,0.063,0.075,0.049
0.0,0.3,3.31,0.542,6.55,1.931,0.061,0.064,0.061,0.049
0.0,0.3,3.35,0.589,6.67,1.919,0.074,0.064,0.079,0.046
0.0,0.3,3.36,0.592,6.55,1.905,0.055,0.06,0.06,0.047
0.0,0.3,3.27,0.581,6.1,1.889,0.062,0.077,0.065,0.058
0.0,0.3,3.27,0.598,6.38,1.81,0.059,0.078,0.063,0.057
0.0,0.3,3.36,0.686,6.54,1.921,0.066,0.064,0.071,0.048
0.0,0.3,3.37,0.658,6.26,2.028,0.067,0.057,0.074,0.041
0.0,0.3,3.34,0.587,6.27,1.832,0.049,0.061,0.057,0.046
0.0,0.3,3.24,0.602,6.16,1.963,0.056,0.079,0.057,0.061
0.0,0.3,3.3,0.557,6.36,1.723,0.068,0.059,0.067,0.047
0.0,0.4,3.35,0.555,6.2,1.72,0.068,0.069,0.072,0.052
0.0,0.4,3.11,0.691,6.19,1.831,0.048,0.05,0.049,0.041
0.0,0.4,3.33,0.601,6.04,1.449,0.063,0.077,0.067,0.057
0.0,0.4,3.4,0.583,6.51,1.936,0.067,0.075,0.073,0.06
0.0,0.4,3.22,0.593,6.39,1.624,0.064,0.066,0.067,0.053
0.0,0.4,3.31,0.595,5.97,1.628,0.061,0.083,0.061,0.063
0.0,0.4,3.3,0.592,5.85,1.705,0.065,0.092,0.066,0.063
0.0,0.4,3.33,0.664,6.17,1.898,0.065,0.076,0.068,0.056
0.0,0.4,3.36,0.575,6.53,1.91,0.072,0.077,0.074,0.059
0.0,0.4,3.38,0.645,6.16,1.695,0.068,0.077,0.066,0.062
0.0,0.5,3.31,0.628,6.3,2.042,0.055,0.066,0.059,0.052
0.0,0.5,3.28,0.665,6.08,1.826,0.075,0.068,0.074,0.049
0.0,0.5,3.33,0.601,6.5,1.942,0.071,0.067,0.073,0.049
0.0,0.5,3.27,0.598,6.24,1.632,0.055,0.069,0.059,0.051
0.0,0.5,3.29,0.637,6.61,1.777,0.071,0.079,0.069,0.062
0.0,0.5,3.25,0.555,6.28,2.159,0.054,0.074,0.055,0.057
0.0,0.5,3.36,0.609,6.49,1.972,0.064,0.066,0.068,0.051
0.0,0.5,3.41,0.567,6.46,1.83,0.067,0.064,0.067,0.053
0.0,0.5,3.27,0.661,6.29,1.956,0.058,0.052,0.062,0.038
0.0,0.5,3.24,0.65,5.91,1.823,0.055,0.07,0.058,0.052
0.0,0.6,3.31,0.611,6.39,1.959,0.061,0.061,0.063,0.048
0.0,0.6,3.34,0.604,6.32,1.754,0.067,0.07,0.071,0.051
0.0,0.6,3.25,0.638,6.37,1.635,0.061,0.053,0.059,0.041
0.0,0.6,3.33,0.584,6.23,1.865,0.063,0.069,0.067,0.05
0.0,0.6,3.38,0.562,6.67,2.088,0.06,0.075,0.065,0.056
0.0,0.6,3.26,0.577,6.4,1.887,0.056,0.051,0.061,0.039
0.0,0.6,3.26,0.658,6.81,2.038,0.06,0.073,0.064,0.055
0.0,0.6,3.28,0.584,6.22,1.792,0.07,0.078,0.065,0.064
0.0,0.6,3.29,0.637,6.18,1.873,0.058,0.057,0.059,0.043
0.0,0.6,3.28,0.618,6.22,1.973,0.059,0.065,0.059,0.05
0.0,0.7,3.26,0.673,6.34,1.883,0.053,0.057,0.053,0.047
0.0,0.7,3.36,0.625,6.48,1.926,0.066,0.081,0.065,0.063
0.0,0.7,3.35,0.589,6.46,2.109,0.061,0.06,0.063,0.049
0.0,0.7,3.23,0.676,6.01,1.741,0.058,0.068,0.059,0.051
0.0,0.7,3.38,0.562,6.22,1.916,0.063,0.066,0.059,0.051
0.0,0.7,3.28,0.601,6.29,1.986,0.064,0.073,0.063,0.055
0.0,0.7,3.23,0.598,5.98,1.827,0.069,0.054,0.062,0.044
0.0,0.7,3.24,0.618,6.27,1.875,0.055,0.075,0.054,0.055
0.0,0.7,3.16,0.674,6.4,1.913,0.054,0.052,0.056,0.039
0.0,0.7,3.39,0.631,6.35,1.889,0.069,0.09,0.068,0.065
0.0,0.8,3.17,0.694,6.11,1.731,0.044,0.051,0.049,0.038
0.0,0.8,3.38,0.596,5.94,1.848,0.054,0.057,0.063,0.043
0.0,0.8,3.07,0.696,6.19,1.798,0.062,0.046,0.06,0.032
0.0,0.8,3.39,0.598,6.4,1.822,0.062,0.074,0.067,0.055
0.0,0.8,3.26,0.541,6.45,2.066,0.055,0.074,0.054,0.059
0.0,0.8,3.26,0.658,6.12,2.006,0.052,0.058,0.057,0.041
0.0,0.8,3.33,0.584,6.18,1.905,0.068,0.072,0.066,0.057
0.0,0.8,3.13,0.744,6.11,1.854,0.039,0.058,0.041,0.043
0.0,0.8,3.27,0.614,6.38,2.029,0.063,0.064,0.059,0.055
0.0,0.8,3.22,0.626,6.02,1.816,0.063,0.07,0.059,0.052
0.0,0.9,3.14,0.633,5.98,1.732,0.055,0.07,0.051,0.05
0.0,0.9,3.35,0.572,6.4,2.163,0.072,0.106,0.074,0.075
0.0,0.9,3.25,0.684,6.3,1.957,0.051,0.056,0.05,0.048
0.0,0.9,3.33,0.567,6.63,1.793,0.066,0.071,0.065,0.052
0.0,0.9,3.19,0.659,5.91,1.945,0.053,0.056,0.05,0.041
0.0,0.9,3.22,0.642,6.52,1.91,0.059,0.061,0.059,0.044
