p_t mean,f0 mean,edit dist,edit std,edit dist mv,edit std mv,cov delta,cov std,exac delta,exac std
0.0,0.0,3.89,1.311,10.13,2.013,0.047,0.068,0.041,0.053
0.0,0.0,4.38,1.623,10.19,2.58,0.042,0.07,0.038,0.049
0.0,0.0,4.0,1.536,9.89,2.672,0.05,0.068,0.044,0.053
0.0,0.0,3.81,1.383,10.03,2.451,0.046,0.062,0.038,0.049
0.0,0.0,3.81,1.495,9.48,2.304,0.046,0.068,0.036,0.054
0.0,0.0,3.96,1.363,10.08,2.235,0.051,0.056,0.046,0.044
0.0,0.0,4.12,1.518,10.01,2.278,0.037,0.079,0.036,0.055
0.0,0.0,4.16,1.391,9.81,2.54,0.04,0.079,0.037,0.055
0.0,0.0,4.37,1.467,9.87,2.257,0.039,0.066,0.041,0.044
0.0,0.0,4.19,1.278,10.1,2.252,0.047,0.075,0.038,0.057
0.0,0.1,4.1,1.418,9.83,2.333,0.054,0.064,0.051,0.051
0.0,0.1,4.1,1.67,9.68,2.19,0.058,0.067,0.056,0.052
0.0,0.1,4.1,1.493,10.06,2.374,0.055,0.067,0.056,0.05
0.0,0.1,4.02,1.385,9.72,2.396,0.047,0.078,0.046,0.052
0.0,0.1,3.76,1.464,9.87,2.44,0.041,0.073,0.031,0.055
0.0,0.1,4.17,1.393,10.18,2.264,0.05,0.074,0.043,0.057
0.0,0.1,4.14,1.51,10.01,2.476,0.048,0.071,0.042,0.058
0.0,0.1,3.88,1.409,10.07,2.624,0.045,0.069,0.037,0.055
0.0,0.1,3.89,1.421,9.8,2.538,0.04,0.07,0.033,0.054
0.0,0.1,4.06,1.475,9.88,2.141,0.049,0.07,0.047,0.046
0.0,0.2,4.11,1.503,9.8,2.298,0.048,0.075,0.039,0.059
0.0,0.2,4.05,1.711,9.53,2.295,0.055,0.07,0.045,0.054
0.0,0.2,4.06,1.279,9.56,2.295,0.054,0.078,0.046,0.06
0.0,0.2,3.85,1.552,9.8,2.145,0.05,0.073,0.039,0.056
0.0,0.2,3.96,1.562,10.19,2.235,0.048,0.075,0.04,0.058
0.0,0.2,4.18,1.403,9.71,2.268,0.051,0.061,0.045,0.046
0.0,0.2,4.19,1.405,10.01,2.207,0.045,0.079,0.041,0.06
0.0,0.2,3.66,1.458,9.56,2.475,0.048,0.063,0.039,0.047
0.0,0.2,3.82,1.602,9.74,2.419,0.041,0.076,0.032,0.058
0.0,0.2,3.98,1.6,9.72,2.413,0.044,0.058,0.043,0.038
0.0,0.3,4.19,1.468,10.01,2.54,0.048,0.078,0.048,0.055
0.0,0.3,3.96,1.407,9.95,2.308,0.047,0.074,0.044,0.052
0.0,0.3,4.14,1.421,9.57,2.539,0.054,0.071,0.043,0.057
0.0,0.3,4.09,1.477,10.28,2.49,0.05,0.084,0.041,0.062
0.0,0.3,3.74,1.54,9.55,2.402,0.047,0.074,0.035,0.055
0.0,0.3,4.06,1.561,9.77,2.469,0.055,0.073,0.046,0.057
0.0,0.3,4.01,1.425,9.73,2.297,0.045,0.062,0.037,0.047
0.0,0.3,3.67,1.217,9.74,2.322,0.05,0.063,0.041,0.048
0.0,0.3,4.17,1.55,9.96,2.6,0.054,0.079,0.047,0.062
0.0,0.3,4.31,1.501,9.64,2.143,0.042,0.067,0.038,0.053
0.0,0.4,4.1,1.559,9.49,2.394,0.039,0.056,0.032,0.042
0.0,0.4,4.16,1.534,10.28,2.191,0.04,0.062,0.036,0.047
0.0,0.4,3.75,1.558,9.4,2.387,0.037,0.042,0.031,0.029
0.0,0.4,3.92,1.508,9.33,2.164,0.035,0.066,0.029,0.049
0.0,0.4,4.05,1.472,10.01,2.46,0.047,0.071,0.038,0.052
0.0,0.4,4.1,1.367,9.74,2.398,0.051,0.062,0.042,0.049
0.0,0.4,3.72,1.463,9.7,2.524,0.047,0.064,0.038,0.05
0.0,0.4,4.04,1.542,9.97,2.287,0.051,0.068,0.042,0.053
0.0,0.4,3.82,1.352,9.22,2.292,0.042,0.059,0.036,0.047
0.0,0.4,4.24,1.497,9.57,2.219,0.062,0.054,0.061,0.034
0.0,0.5,3.93,1.505,9.7,2.452,0.051,0.062,0.043,0.05
0.0,0.5,4.1,1.597,9.51,2.528,0.053,0.066,0.043,0.05
0.0,0.5,4.22,1.494,10.04,2.121,0.055,0.073,0.046,0.055
0.0,0.5,4.09,1.415,9.67,2.25,0.044,0.066,0.044,0.043
0.0,0.5,3.93,1.478,9.71,2.192,0.048,0.063,0.039,0.046
0.0,0.5,3.8,1.51,9.43,2.368,0.057,0.09,0.048,0.066
0.0,0.5,3.82,1.26,9.61,1.999,0.047,0.05,0.039,0.04
0.0,0.5,4.12,1.458,9.86,2.054,0.044,0.09,0.043,0.058
0.0,0.5,3.91,1.497,9.72,2.354,0.043,0.082,0.033,0.06
0.0,0.5,3.99,1.539,9.7,2.48,0.056,0.062,0.047,0.05
0.0,0.6,4.08,1.534,9.63,2.318,0.053,0.089,0.054,0.06
0.0,0.6,3.63,1.419,9.19,2.322,0.042,0.038,0.034,0.028
0.0,0.6,4.03,1.473,9.72,2.363,0.052,0.065,0.044,0.051
0.0,0.6,4.16,1.354,9.99,2.504,0.046,0.069,0.038,0.054
0.0,0.6,4.01,1.411,10.09,2.388,0.041,0.068,0.035,0.052
0.0,0.6,4.04,1.476,9.16,2.489,0.054,0.065,0.046,0.049
0.0,0.6,3.99,1.345,9.71,2.174,0.056,0.074,0.044,0.05
0.0,0.6,3.71,1.366,9.77,2.31,0.053,0.082,0.043,0.062
0.0,0.6,3.6,1.428,9.25,2.351,0.044,0.038,0.037,0.029
0.0,0.6,4.08,1.398,9.4,2.245,0.057,0.069,0.057,0.046
0.0,0.7,4.36,1.466,10.17,2.122,0.043,0.065,0.039,0.052
0.0,0.7,4.15,1.307,9.49,2.356,0.05,0.084,0.041,0.063
0.0,0.7,4.09,1.386,9.54,2.308,0.056,0.075,0.048,0.058
0.0,0.7,4.0,1.378,9.83,2.337,0.054,0.07,0.049,0.054
0.0,0.7,4.12,1.437,9.73,2.408,0.056,0.079,0.046,0.061
0.0,0.7,4.14,1.4,9.56,2.503,0.043,0.057,0.036,0.042
0.0,0.7,3.88,1.505,9.23,2.481,0.055,0.068,0.046,0.054
0.0,0.7,4.05,1.445,9.73,2.391,0.047,0.056,0.039,0.045
0.0,0.7,3.9,1.507,9.83,2.281,0.041,0.039,0.043,0.021
0.0,0.7,4.21,1.532,9.45,2.282,0.075,0.08,0.07,0.057
0.0,0.8,4.17,1.613,9.82,2.312,0.039,0.061,0.032,0.046
0.0,0.8,3.67,1.51,8.91,2.191,0.028,0.037,0.024,0.028
0.0,0.8,3.9,1.425,9.71,2.242,0.051,0.061,0.051,0.042
0.0,0.8,4.13,1.376,9.71,2.174,0.048,0.08,0.038,0.062
0.0,0.8,3.64,1.368,9.37,2.493,0.041,0.02,0.034,0.016
0.0,0.8,4.27,1.489,10.24,2.079,0.047,0.059,0.043,0.042
0.0,0.8,4.0,1.349,10.06,2.336,0.05,0.072,0.042,0.057
0.0,0.8,4.19,1.481,9.44,2.455,0.063,0.054,0.06,0.039
0.0,0.8,3.75,1.472,9.0,2.263,0.062,0.072,0.052,0.055
0.0,0.8,4.04,1.496,9.65,2.435,0.051,0.079,0.045,0.06
0.0,0.9,3.87,1.412,9.74,2.386,0.052,0.079,0.049,0.059
0.0,0.9,4.23,1.58,9.76,2.201,0.061,0.065,0.052,0.051
0.0,0.9,4.4,1.47,10.16,2.361,0.064,0.062,0.057,0.044
0.0,0.9,3.82,1.539,9.6,2.341,0.051,0.041,0.041,0.03
0.0,0.9,3.79,1.306,9.67,2.187,0.051,0.07,0.042,0.055
0.0,0.9,4.27,1.509,9.83,2.126,0.058,0.072,0.048,0.058
0.0,0.9,3.95,1.552,9.84,2.305,0.05,0.072,0.051,0.051
0.0,0.9,3.98,1.356,9.47,2.26,0.05,0.077,0.041,0.058
0.0,0.9,3.96,1.455,9.54,2.334,0.053,0.078,0.043,0.059
0.0,0.9,3.9,1.597,9.68,2.391,0.047,0.067,0.038,0.051
0.0,1.0,4.06,1.475,9.58,2.183,0.044,0.079,0.035,0.059
0.0,1.0,3.94,1.413,9.65,1.883,0.051,0.061,0.043,0.047
0.0,1.0,4.0,1.304,9.79,2.061,0.05,0.067,0.042,0.051
0.0,1.0,3.85,1.492,9.49,2.39,0.041,0.069,0.033,0.051
0.0,1.0,3.85,1.699,9.42,2.219,0.053,0.045,0.056,0.031
0.0,1.0,4.01,1.418,9.83,2.245,0.037,0.036,0.037,0.025
0.0,1.0,4.18,1.465,10.58,2.401,0.044,0.064,0.039,0.05
0.0,1.0,4.03,1.609,9.69,2.087,0.059,0.084,0.063,0.055
0.0,1.0,4.13,1.433,9.33,2.362,0.079,0.079,0.073,0.059
0.0,1.0,3.5,1.323,9.24,2.241,0.039,0.048,0.031,0.035
0.1,0.0,4.02,1.51,10.06,2.564,0.054,0.089,0.043,0.066
0.1,0.0,3.95,1.621,9.76,2.254,0.047,0.07,0.039,0.054
